file_id,cdr_lenth,psh,ppc,pnc,SFvCSP
abagovomab_model,46,170.49702574083997,0.11899136107360422,0.08647161176583538,8.61
abrilumab_model,46,188.07494700660934,0.0,1.0568298491269652,-10.0
abituzumab_model,45,166.27841535831965,0.1342410898502971,0.04445155855558818,0.0
alemtuzumab_model,49,177.07345959993432,0.22161491558311167,0.28678603467391084,12.709999999999999
actoxumab_model,50,188.82623651684003,0.046268988746634376,1.3247524124663674,0.0
adalimumab_model,48,191.0758697071597,0.03951883284728958,1.137158148120595,-11.6
aducanumab_model,51,188.8360224761305,2.8562568558812726,0.03791316455897468,14.0
alirocumab_model,51,165.52044595880943,0.08693256724752382,0.0,0.0
andecaliximab_model,42,168.025025096974,0.0,0.0,4.2
amatuximab_model,45,196.16696965893095,0.9993339359609765,0.0,4.41
anetumab_model,52,191.76853957456666,0.11982842256331265,0.18548382930561266,0.10000000000000009
anifrolumab_model,45,206.07634992162383,0.034312524967167975,0.28170838817073407,1.1
anrukinzumab_model,50,195.6768981172912,0.03925723581622037,1.4387829056996728,-2.0
atezolizumab_model,45,179.83265400314244,0.12435473014923315,0.05145265210402443,2.3100000000000005
ascrinvacumab_model,46,188.53499203824674,0.0,0.11794495744920497,2.2
atidortoxumab_model,46,187.28101463583772,0.0,0.0,3.3000000000000003
basiliximab_model,41,179.63260556176505,0.5504270326314747,0.0,5.5
avelumab_model,51,241.0963473347872,0.17529887193218996,0.0,-1.7999999999999998
bapineuzumab_model,52,199.3414217190666,0.503980067240874,0.29077999666193854,2.3100000000000005
berlimatoxumab_model,46,184.75993118160153,0.021633814286403246,0.12881731710352096,8.2
belimumab_model,52,225.4045246628489,2.5056319090723655,0.6710379745319355,-6.38
benralizumab_model,48,179.35048525823032,0.03619483434631524,1.2674265556333522,0.5000000000000004
bavituximab_model,47,318.53895554056356,0.004801333759987756,0.0,-4.6000000000000005
bevacizumab_model,51,186.60460977705335,0.003555668431833612,0.04714866802875246,0.1200000000000001
bimagrumab_model,47,212.60353207275443,1.0775407782807533,0.0,6.300000000000001
bleselumab_model,47,170.8143386093893,0.045984818519411705,0.3602158734330713,4.1
bococizumab_model,45,185.12739772689008,0.25489975493395023,0.051680113249992575,12.0
blosozumab_model,45,155.02330399176012,0.0,2.1287678624814235,-5.5
bezlotoxumab_model,48,209.5107850583003,0.03179072079341734,0.0,6
brazikumab_model,56,203.85770190163743,0.23445406253011072,0.1586827059258648,0.0
bimekizumab_model,53,184.0593488565327,0.08819976413024862,1.7292157608731615,2.1
brentuximab_model,48,152.0049791654141,0.03532987910119177,1.5497725291413367,-5.9
briakinumab_model,47,174.7891747086327,0.30012293934001594,0.0,4.620000000000001
burosumab_model,43,178.64339252502748,0.0,0.22691036280042995,0.0
brodalumab_model,43,156.49899748868003,0.06126926163447414,0.0,5
camrelizumab_model,44,190.77144791621302,0.04129529200284592,0.029753294664292614,0
canakinumab_model,45,164.60220041485672,0.04431207388597534,0.20994084917225178,2.0
carlumab_model,48,224.25481764429634,0.0,1.2188199798461081,-0.19999999999999996
carotuximab_model,45,194.08979613224957,2.9057070953055915,0.0,12.709999999999999
